orf6.10	C6_01190C_A	VPS15	Protein involved in retrograde endosome-to-Golgi protein transport; required for normal virulence	autophagy of peroxisome||inositol lipid-mediated signaling||late endosome to vacuole transport||macroautophagy||pathogenesis||positive regulation of transcription elongation from RNA polymerase II promoter||protein phosphorylation||protein retention in Golgi apparatus||protein targeting to vacuole||retrograde transport, endosome to Golgi||vacuole inheritance	nucleus-vacuole junction||phosphatidylinositol 3-kinase complex, class III, type I||phosphatidylinositol 3-kinase complex, class III, type II||vacuole-isolation membrane contact site	ATP binding||protein serine/threonine kinase activity||ubiquitin binding
orf6.101	C4_00710W_A		Has domain(s) with predicted ATP binding activity	biological_process	cellular_component	ATP binding
orf6.1010	C1_04750W_A	IFE1	Putative medium-chain alcohol dehydrogenase; rat catheter and Spider biofilm repressed	oxidation-reduction process	cellular_component	oxidoreductase activity||zinc ion binding
orf6.1012	C1_04740W_A	LPG20	Aldo-keto reductase family protein; similar to aryl alcohol dehydrogenases; osmotic stress-induced, correlates with overexpression of MDR1 in fluconazole-resistant isolate; stationary phase enriched protein	biological_process	cellular_component	aryl-alcohol dehydrogenase (NAD+) activity
orf6.1013	C1_04730C_A	LYS21	Homocitrate synthase, major isoform; lysine biosynthesis; expression increased in a fluconazole-resistant isolate; colony morphology-related gene regulation by Ssn6; ketoconazole-repressed; regulated by Gcn2, Gcn4, Hap43	lysine biosynthetic process||lysine biosynthetic process via aminoadipic acid	nucleus	homocitrate synthase activity
orf6.1014	C1_04710C_A		Protein similar to S. cerevisiae Rsa3 predicted nucleolar protein involved in maturation of pre-60S ribosomal particles; rat catheter and Spider biofilm induced	ribosomal large subunit assembly	preribosome, large subunit precursor	molecular_function
orf6.1016	CR_07480W_A		S. pombe ortholog SPAC5D6.04 is a predicted auxin family transmembrane transporter; ketoconazole and hypoxia induced	transmembrane transport	integral component of membrane	molecular_function
orf6.1017	CR_07490C_A	GLK4	Putative glucokinase; decreased expression in hyphae compared to yeast-form cells	carbohydrate metabolic process||cellular glucose homeostasis	cellular_component	ATP binding||glucose binding||hexokinase activity||phosphotransferase activity, alcohol group as acceptor
orf6.1018	C7_02250W_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_72050, <i>C. parapsilosis CDC317</i> : CPAR2_301140, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_135055 and <i>Debaryomyces hansenii CBS767</i> : DEHA2E07678g	biological_process	cellular_component	molecular_function
orf6.1019	C7_02260W_A		Ortholog of <i>C. parapsilosis CDC317</i> : CPAR2_808350, <i>C. dubliniensis CD36</i> : Cd36_72060, <i>Candida orthopsilosis Co 90-125</i> : CORT_0C00820 and <i>Candida albicans WO-1</i> : CAWG_05575	biological_process	cellular_component	molecular_function
orf6.102	C2_05190W_A	CDC21	Putative thymidylate synthase; flucytosine induced; rat catheter biofilm repressed; Spider biofilm repressed	dTMP biosynthetic process	nuclear periphery	thymidylate synthase activity
orf6.1020	C7_02270W_A	LDG3	Putative LDG family protein; F-12/CO2 early biofilm induced	biological_process	cellular_component	molecular_function
orf6.1022	C5_01820W_A	STI1	Protein that interacts with Cdc37 and Crk1 in two-hybrid; may be involved in Cdc37 chaperone activity; soluble protein in hyphae; protein in exponential and stationary phase yeast cultures; YNB biofilm induced; Spider biofilm induced	protein folding||protein targeting to mitochondrion	cytoplasm	ATPase inhibitor activity||Hsp70 protein binding||Hsp90 protein binding||mRNA binding
orf6.1024	C5_01840C_A	TAC1	Zn(2)-Cys(6) transcriptional activator of drug-responsive genes (CDR1 and CDR2); binds DRE element; gene in zinc cluster region near MTL locus; resequencing indicates that TAC1 spans orf19.3188 and orf19.3189; Spider biofilm induced	cellular response to biotic stimulus||cellular response to drug||cellular response to oxidative stress||cellular response to steroid hormone stimulus||filamentous growth||filamentous growth of a population of unicellular organisms in response to biotic stimulus||positive regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus||positive regulation of transcription by RNA polymerase II||regulation of transcription by RNA polymerase II||response to salt stress||transcription, DNA-templated	nucleus||transcription factor complex	DNA binding||DNA-binding transcription factor activity, RNA polymerase II-specific||transcription coactivator activity||zinc ion binding
orf6.1025	C5_01670W_A	DAL52	Putative allantoate permease; mutant is viable; similar but not orthologous to S. cerevisiae Dal5	anion transport||transmembrane transport	integral component of membrane||membrane	anion:cation symporter activity
orf6.1026	orf19.1432		Predicted ORF from Assembly 19; removed from Assembly 20			
orf6.1027	C3_02280C_A	GFA1	Glucosamine-6-phosphate synthase, homotetrameric enzyme of chitin/hexosamine biosynthesis; inhibited by UDP-GlcNAc, FMDP, N-acyl peptide, kanosamine-6-P; functional homolog of S. cerevisiae Gfa1p; Cagrowth-phase regulated; catalytic Cys	cell wall chitin biosynthetic process||cellular response to drug||chitin biosynthetic process||establishment or maintenance of cell polarity||fungal-type cell wall chitin biosynthetic process||glucosamine biosynthetic process||hyphal growth||protein N-linked glycosylation	cellular_component	carbohydrate binding||carbohydrate derivative binding||glutamine-fructose-6-phosphate transaminase (isomerizing) activity
orf6.1029	C3_02290W_A		Protein similar to S. cerevisiae Ydr282cp; transposon mutation affects filamentous growth; Hap43p-repressed gene	cellular response to biotic stimulus||cellular response to starvation||filamentous growth||filamentous growth of a population of unicellular organisms in response to biotic stimulus||filamentous growth of a population of unicellular organisms in response to starvation	mitochondrial inner membrane	molecular_function
orf6.103	C2_05200C_A	SGO1	Component of the spindle checkpoint; cell-cycle regulated periodic mRNA expression	centromere complex assembly||establishment of protein localization to chromosome||kinetochore organization||maintenance of meiotic sister chromatid cohesion||meiotic sister chromatid separation||mitotic sister chromatid segregation||mitotic spindle assembly checkpoint||positive regulation of maintenance of meiotic sister chromatid cohesion||sister chromatid biorientation	chromosome, centromeric region||condensed nuclear chromosome kinetochore	molecular_function
orf6.1030	C3_02300W_A	FGR23	Protein of unknown function; repressed by a1/alpha2 in white-phase cells, a-specific, alpha factor-induced; Hap43-repressed; flow model biofilm induced; Tn mutation affects filamentous growth;	cellular response to biotic stimulus||cellular response to starvation||filamentous growth||filamentous growth of a population of unicellular organisms in response to biotic stimulus||filamentous growth of a population of unicellular organisms in response to starvation	cell surface	molecular_function
orf6.1031	C5_02500C_A		Ortholog(s) have mRNA binding activity and role in cellular protein-containing complex localization, establishment of mitochondrion localization, nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	cellular protein-containing complex localization||establishment of mitochondrion localization||nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	cytoplasmic side of mitochondrial outer membrane||fungal-type cell wall	mRNA binding
orf6.1032	C5_02510C_A		Has domain(s) with predicted nucleotide binding activity	biological_process	cellular_component	nucleotide binding
orf6.1033	C5_02520W_A		Protein of unknown function; induced during chlamydospore formation in both C. albicans and C. dubliniensis; flow model biofilm induced	biological_process	cellular_component	molecular_function
orf6.1034	C2_06870C_A	PST1	Flavodoxin-like protein involved in oxidative stress protection and virulence; putative 1,4-benzoquinone reductase; hyphal-induced; regulated by Cyr1, Ras1, Efg1, Nrg1, Rfg1, Tup1; Hap43-induced; Spider biofilm induced	cellular response to oxidative stress||negative regulation of transcription, DNA-templated||pathogenesis	plasma membrane	FMN binding||NAD(P)H dehydrogenase (quinone) activity||oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor
orf6.1035	C2_06880C_A	PRB1	Endoprotease B; regulated by heat, carbon source (GlcNAc-induced), nitrogen, macrophage response, human neutrophils; similar to (does not replace) S. cerevisiae vacuolar B protease Prb1p; flow model biofilm induced; Spider biofilm induced	negative regulation of catalytic activity||protein catabolic process in the vacuole||proteolysis	fungal-type vacuole	identical protein binding||serine-type endopeptidase activity
orf6.1037	C2_06890C_A		Similar to oxidoreductases and to S. cerevisiae Yjr096wp; Sfu1 repressed; induced by benomyl treatment, Ssr1; Hap43-repressed; flow model biofilm repressed	oxidation-reduction process	cellular_component	oxidoreductase activity
orf6.1038	C2_08380C_A		Ortholog(s) have DNA polymerase binding, protein kinase activator activity, protein-containing complex scaffold activity	DNA replication initiation||double-strand break repair via break-induced replication||mating type switching||mitotic DNA replication checkpoint||mitotic DNA replication preinitiation complex assembly||mitotic G2 DNA damage checkpoint||positive regulation of DNA replication origin binding||positive regulation of protein phosphorylation||replication fork processing	DNA replication preinitiation complex||cytosol||nuclear chromatin||replication fork||site of double-strand break	DNA polymerase binding||molecular adaptor activity||protein kinase activator activity
orf6.1039	C2_08390W_A		Protein of unknown function; Hap43-repressed; colony morphology-related gene regulation by Ssn6; Spider biofilm induced	biological_process	cellular_component	molecular_function
orf6.104	C1_05940W_A	PHO87	Putative phosphate permease; transcript repressed by Rim101 at pH 8; regulated by white-opaque switch; caspofungin repressed; virulence-group-correlated expression; flow model biofilm induced	phosphate ion transport||plasma membrane selenite transport||polyphosphate metabolic process||regulation of phosphate transmembrane transport||sodium ion transport	plasma membrane	inorganic phosphate transmembrane transporter activity
orf6.1040	C3_04230W_A		Ortholog(s) have RNA-dependent ATPase activity, role in generation of catalytic spliceosome for first transesterification step, snoRNA splicing and U2-type catalytic step 1 spliceosome localization	generation of catalytic spliceosome for first transesterification step||snoRNA splicing	U2-type catalytic step 1 spliceosome	ATP binding||ATP-dependent helicase activity||RNA-dependent ATPase activity||helicase activity||nucleic acid binding||nucleotide binding
orf6.1041	C3_04240C_A		Ortholog of <i>Candida albicans WO-1</i> : CAWG_02737	biological_process	cellular_component	molecular_function
orf6.1042	C3_04250W_A	WSC1	Putative cell wall component; transcript upregulated in cyr1 mutant (yeast or hyphae); Spider and flow model biofilm induced	activation of MAPK activity involved in cell wall organization or biogenesis||asexual sporulation resulting in formation of a cellular spore||conidiophore development||fungal-type cell wall organization or biogenesis||hyphal growth||response to stress	fungal-type cell wall||plasma membrane	molecular_function
orf6.1043	C2_03710W_A	MNN41	Ortholog(s) have enzyme activator activity and role in protein N-linked glycosylation, protein O-linked glycosylation	fungal-type cell wall polysaccharide biosynthetic process||protein N-linked glycosylation||protein O-linked glycosylation	cellular_component	enzyme activator activity
orf6.1044	C2_03700W_A		Ortholog(s) have protein-N-terminal asparagine amidohydrolase activity, protein-N-terminal glutamine amidohydrolase activity and role in cellular protein modification process, protein catabolic process	cellular protein modification process||protein catabolic process	cellular_component	protein-N-terminal asparagine amidohydrolase activity||protein-N-terminal glutamine amidohydrolase activity
orf6.1045	C6_03250W_A	BMT4	Beta-mannosyltransferase; for elongation of beta-mannose chains on the acid-labile fraction of cell wall phosphopeptidomannan; 9-gene family member; regulated by Tsa1, Tsa1B; flow model biofilm induced; rat catheter biofilm repressed	beta-1,2-oligomannoside metabolic process	cellular_component	mannosyltransferase activity
orf6.1047	C6_03260W_A		Putative ribonuclease H1; possibly an essential gene, disruptants not obtained by UAU1 method; flow model biofilm induced; Spider biofilm induced	RNA catabolic process	cellular_component	RNA-DNA hybrid ribonuclease activity||nucleic acid binding
orf6.1049	C6_03270C_A	AYR2	Putative NADPH-dependent 1-acyl dihydroxyacetone phosphate reductase; shows colony morphology-related gene regulation by Ssn6p	metabolic process	cellular_component	oxidoreductase activity
orf6.105	C5_05060C_A		Ortholog(s) have Atg8 ligase activity, protein binding, bridging activity	C-terminal protein lipidation||autophagosome organization||autophagy of mitochondrion||late nucleophagy||piecemeal microautophagy of the nucleus||protein localization by the Cvt pathway	Atg12-Atg5-Atg16 complex||phagophore||phagophore assembly site||vacuole-isolation membrane contact site	Atg8 ligase activity||protein binding, bridging
orf6.1050	C1_08950W_A	PFK26	Putative 6-phosphofructo-2-kinase; protein repressed during the mating process	fructose 2,6-bisphosphate metabolic process||fructose metabolic process	cellular_component	6-phosphofructo-2-kinase activity||ATP binding
orf6.1052	C4_03320W_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_43090, <i>C. parapsilosis CDC317</i> : CPAR2_403340, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_94387 and <i>Debaryomyces hansenii CBS767</i> : DEHA2G17622g	biological_process	cellular_component	molecular_function
orf6.1053	C4_03330W_A	IPK1	Ortholog of S. cerevisiae/S. pombe Ipk1; an inositol pentakisphosphate 2-kinase, a nuclear protein required for synthesis of 1,2,3,4,5,6-hexakisphosphate; Spider biofilm induced	inositol phosphate biosynthetic process||nuclear-transcribed mRNA catabolic process, non-stop decay	nucleus	ATP binding||inositol pentakisphosphate 2-kinase activity
orf6.1054	C4_03340C_A		Protein with homology to NADH dehydrogenase; regulated by Sef1p-, Sfu1p-, and Hap43p	oxidation-reduction process	cytoplasm	oxidoreductase activity
orf6.1055	orf19.1437		ORF removed from Assembly 20; transcription is negatively regulated by Sfu1p; possibly an essential gene, disruptants not obtained by UAU1 method			
orf6.1056	C4_00990W_A		NRAMP metal ion transporter domain-containing protein; induced by nitric oxide independent of Yhb1; flow model biofilm induced; rat catheter biofilm repressed	metal ion transport	membrane	metal ion transmembrane transporter activity
orf6.1057	C4_00980C_A	MRV1	Ortholog of <i>Candida albicans WO-1</i> : CAWG_03682	biological_process	cellular_component	molecular_function
orf6.1058	C4_00970C_A	MDN1	Putative midasin, a very large dynein-related AAA-type ATPase; induced during the mating process	rRNA processing||ribosomal large subunit assembly	nucleoplasm||preribosome, large subunit precursor	ATP binding||ATPase activity||nucleoside-triphosphatase activity||nucleotide binding
orf6.1059	C2_01380W_A	PLB4.5	Phospholipase B; Hog1-induced; regulated by Ssn6; putative GPI-anchor; repressed during cell wall regeneration; clade-associated gene expression; Hap43-induced; rat catheter and Spider biofilm repressed	phospholipid catabolic process	cell surface||extracellular region	phospholipase activity
orf6.106	C5_05050W_A	ADH1	Alcohol dehydrogenase; oxidizes ethanol to acetaldehyde; at yeast cell surface; immunogenic in humans/mice; complements S. cerevisiae adh1 adh2 adh3 mutant; fluconazole, farnesol-induced; flow model biofilm induced; Spider biofilm repressed	induction by symbiont of host defense response||interaction with host||oxidation-reduction process||single-species biofilm formation in or on host organism||single-species biofilm formation on inanimate substrate	cell surface||extracellular region||fungal biofilm matrix||fungal-type cell wall||hyphal cell wall||mitochondrion||plasma membrane||yeast-form cell wall	alcohol dehydrogenase (NAD) activity||carbonyl reductase (NADPH) activity||methylglyoxal reductase (NADH-dependent) activity||protein binding||transferase activity, transferring acyl groups other than amino-acyl groups||zinc ion binding
orf6.1060	C2_01370C_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_16230, <i>C. parapsilosis CDC317</i> : CPAR2_213950, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_112720 and <i>Debaryomyces hansenii CBS767</i> : DEHA2A01848g	biological_process	cellular_component	molecular_function
orf6.1061	C2_02200W_A	ZRC1	Putative zinc transporter essential for tolerance to zinc; plays a role in zincosome formation; Hap43-induced; required for normal filamentous growth; mRNA binds She3 and is localized to hyphal tips	cellular cobalt ion homeostasis||cellular detoxification of cadmium ion||cellular zinc ion homeostasis||detoxification of zinc ion||filamentous growth||zinc ion transmembrane transport	endoplasmic reticulum membrane||fungal-type vacuole membrane||integral component of membrane	zinc ion transmembrane transporter activity
orf6.1062	C2_02200W_A	ZRC1	Putative zinc transporter essential for tolerance to zinc; plays a role in zincosome formation; Hap43-induced; required for normal filamentous growth; mRNA binds She3 and is localized to hyphal tips	cellular cobalt ion homeostasis||cellular detoxification of cadmium ion||cellular zinc ion homeostasis||detoxification of zinc ion||filamentous growth||zinc ion transmembrane transport	endoplasmic reticulum membrane||fungal-type vacuole membrane||integral component of membrane	zinc ion transmembrane transporter activity
orf6.1063	C2_02190C_A		Protein of unknown function; Hap43-induced gene	biological_process	cellular_component	molecular_function
orf6.1064	C2_02180W_A		Ortholog of S. cerevisiae Zrt3, vacuolar membrane zinc transporter; predicted Kex2 substrate; induced in oralpharyngeal candidasis; flow model biofilm induced; Spider biofilm induced	cellular zinc ion homeostasis||transmembrane transport||zinc ion transport	fungal-type vacuole membrane	zinc ion transmembrane transporter activity
orf6.1065	C1_00270W_A		Predicted ORF in retrotransposon Tca8 with similarity to the Gag region encoding nucleocapsid-like protein; repressed by ciclopirox olamine; filament induced; regulated by Rfg1, Tup1; overlaps orf19.6078.1	biological_process	cellular_component	molecular_function
orf6.1066	C1_00230C_A	BFA1	Ortholog(s) have GDP-dissociation inhibitor activity, GTPase activator activity, role in mitotic spindle orientation checkpoint and Bfa1-Bub2 complex localization	mitotic spindle orientation checkpoint	Bfa1-Bub2 complex	GDP-dissociation inhibitor activity||GTPase activator activity
orf6.1067	C1_00220W_A	PHR2	Glycosidase; role in vaginal not systemic infection (low pH not neutral); low pH, high iron, fluconazole, Hap43-induced; Rim101-repressed at pH8; rat catheter biofilm induced; Bcr1-repressed in RPMI a/a biofilms	cellular response to pH||chromatin silencing||filamentous growth||fungal-type cell wall (1->3)-beta-D-glucan biosynthetic process||fungal-type cell wall organization||pathogenesis	COPII-coated ER to Golgi transport vesicle||anchored component of plasma membrane||cell surface||cellular bud scar||fungal-type cell wall||hyphal cell wall||membrane raft||new growing cell tip||nuclear periphery||old growing cell tip||plasma membrane||primary cell septum||yeast-form cell wall	1,3-beta-glucanosyltransferase activity||glucanosyltransferase activity||hydrolase activity, hydrolyzing O-glycosyl compounds
orf6.1068	C2_04320W_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_18970, <i>C. parapsilosis CDC317</i> : CPAR2_212800, <i>Debaryomyces hansenii CBS767</i> : DEHA2F08690g and <i>Candida guilliermondii ATCC 6260</i> : PGUG_01488	biological_process	cellular_component	molecular_function
orf6.1069	C2_04310W_A	ERG10	Acetyl-CoA acetyltransferase; role in ergosterol biosynthesis; soluble in hyphae; changes in protein abundance associated with azole resistance; fluconazole or ketoconazole induced; macrophage-downregulated protein; GlcNAc-induced protein	ergosterol biosynthetic process	cytoplasm	acetyl-CoA C-acetyltransferase activity
orf6.107	C1_05710C_A	UGA4	Putative gamma-aminobutyric acid/polyamine permease; nitrogen catabolite repressed gene, induced in absence of preferred N sources; transcriptionally induced upon phagocytosis by macrophage; gene regulation by nitrogen source requires Gat1p	gamma-aminobutyric acid transport||putrescine transport||transmembrane transport	fungal-type vacuole membrane	gamma-aminobutyric acid:proton symporter activity||putrescine transmembrane transporter activity
orf6.1070	C2_04300C_A		Protein of unknown function; Spider biofilm induced	biological_process	cellular_component	molecular_function
orf6.1071	C2_04280W_A		Ortholog(s) have protein serine/threonine kinase activity, protein serine/threonine/tyrosine kinase activity, protein tyrosine kinase activity	positive regulation of protein localization to kinetochore||protein phosphorylation||regulation of mitotic sister chromatid segregation	cellular_component	ATP binding||protein serine/threonine kinase activity||protein serine/threonine/tyrosine kinase activity||protein tyrosine kinase activity
orf6.1072	C2_04280W_A		Ortholog(s) have protein serine/threonine kinase activity, protein serine/threonine/tyrosine kinase activity, protein tyrosine kinase activity	positive regulation of protein localization to kinetochore||protein phosphorylation||regulation of mitotic sister chromatid segregation	cellular_component	ATP binding||protein serine/threonine kinase activity||protein serine/threonine/tyrosine kinase activity||protein tyrosine kinase activity
orf6.1073	C7_02250W_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_72050, <i>C. parapsilosis CDC317</i> : CPAR2_301140, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_135055 and <i>Debaryomyces hansenii CBS767</i> : DEHA2E07678g	biological_process	cellular_component	molecular_function
orf6.1074	C7_02240W_A	FMP45	Predicted membrane protein induced during mating; mutation confers hypersensitivity to toxic ergosterol analog, to amphotericin B; alkaline repressed; repressed by alpha pheromone in SpiderM medium; rat catheter, Spider biofilm induced	ascospore formation||cellular response to drug||fungal-type cell wall organization	cell cortex||cellular bud membrane||endosome||fungal-type vacuole||membrane raft||perinuclear region of cytoplasm||plasma membrane part	molecular_function
orf6.1076	C7_02230W_A		Ortholog of <i>Candida albicans WO-1</i> : CAWG_05572	biological_process	cellular_component	molecular_function
orf6.1077	C2_10260C_A	CMK2	Putative calmodulin-dependent protein kinase; involved in cell wall integrity and oxidative stress response	G2/M transition of mitotic cell cycle||ascospore formation||cellular response to calcium ion||cellular response to oxidative stress||conidiophore development||conidium formation||fungal-type cell wall organization||hyphal growth||negative regulation of G2/M transition of mitotic cell cycle||negative regulation of calcineurin-mediated signaling||negative regulation of transcription by RNA polymerase II||negative regulation of transcription by transcription factor localization||protein phosphorylation||regulation of circadian rhythm||regulation of growth rate||sporocarp development involved in sexual reproduction	cytosol	ATP binding||calmodulin binding||calmodulin-dependent protein kinase activity||protein tyrosine kinase activity
orf6.1078	C2_10270W_A	PUS7	Pseudouridine synthase; catalyzes pseudouridylation in U2 snRNA, 5S rRNA, cytoplasmic tRNAs and in pre-tRNA(Tyr); F-12/CO2 early biofilm induced	enzyme-directed rRNA pseudouridine synthesis||mRNA pseudouridine synthesis||snRNA pseudouridine synthesis||tRNA pseudouridine synthesis	cytoplasm||nucleus	pseudouridine synthase activity
orf6.1080	C2_10280C_A	SPT23	Protein involved in regulation of unsaturated fatty acid biosynthesis; controls the expression of the Ole1p delta-9-fatty acid desaturase	cellular response to cold||chromatin silencing at silent mating-type cassette||fatty acid biosynthetic process||fatty acid homeostasis||positive regulation of transcription from RNA polymerase II promoter in response to hypoxia||positive regulation of unsaturated fatty acid biosynthetic process by positive regulation of transcription from RNA polymerase II promoter	integral component of endoplasmic reticulum membrane||membrane||nucleus	molecular_function
orf6.1081	C4_03920W_A		Ortholog(s) have clathrin binding activity, role in clathrin-dependent endocytosis, histone H2B ubiquitination, sterol regulatory element binding protein cleavage and Dsc E3 ubiquitin ligase complex, clathrin-coated vesicle localization	clathrin-dependent endocytosis||histone H2B ubiquitination||sterol regulatory element binding protein cleavage	Dsc E3 ubiquitin ligase complex||clathrin-coated vesicle	clathrin binding
orf6.1082	C4_03910W_A	FGR28	Protein lacking an ortholog in S. cerevisiae; transposon mutation affects filamentous growth; possibly an essential gene, disruptants not obtained by UAU1 method	cellular response to biotic stimulus||cellular response to starvation||filamentous growth||filamentous growth of a population of unicellular organisms in response to biotic stimulus||filamentous growth of a population of unicellular organisms in response to starvation	cellular_component	molecular_function
orf6.1083	C3_01700W_A	CDC53	Cullin, a scaffold subunit of the SCF ubiquitin-ligase complexes; depletion leads to increased filamentous growth and premature cell death	G1/S transition of mitotic cell cycle||G2/M transition of mitotic cell cycle||SCF-dependent proteasomal ubiquitin-dependent protein catabolic process||filamentous growth||growth of unicellular organism as a thread of attached cells||negative regulation of mitotic DNA replication initiation||regulation of cellular amino acid metabolic process||regulation of filamentous growth	SCF ubiquitin ligase complex||nuclear SCF ubiquitin ligase complex	protein binding, bridging||ubiquitin protein ligase activity||ubiquitin protein ligase binding||ubiquitin-protein transferase activity
orf6.1084	C3_01710C_A	PPT1	Putative serine/threonine phosphatase; induced in high iron	protein dephosphorylation	cytoplasm||nucleus	protein serine/threonine phosphatase activity
orf6.1085	C2_09390W_A	ABG1	Vacuolar membrane protein; depletion causes abnormal vacuolar morphology, cell separation defect, sensitivity to cell wall stress, increased hyphal branching; essential, no mammalian homolog; Cyr1-regulated; rat catheter biofilm repressed	cellular protein-containing complex assembly||endocytosis||fungal-type cell wall organization||hyphal growth||septum digestion after cytokinesis||vacuole organization	endocytic vesicle||endoplasmic reticulum membrane||hyphal tip||integral component of membrane||vacuolar membrane	molecular_function
orf6.1086	C2_09400C_A	ERG24	C-14 sterol reductase, has a role in ergosterol biosynthesis; mutation confers increased sensitivity to dyclonine; rat catheter and Spider biofilm repressed	cellular response to drug||ergosterol biosynthetic process||filamentous growth of a population of unicellular organisms in response to biotic stimulus||pathogenesis	membrane	delta14-sterol reductase activity
orf6.1087	C3_02390W_A		Protein of unknown function; Plc1-regulated	biological_process	cellular_component	molecular_function
orf6.1088	C3_02370C_A	ALR1	Putative transporter of divalent cations; hyphal-induced expression; rat catheter biofilm induced	magnesium ion transport||transmembrane transport	plasma membrane	inorganic cation transmembrane transporter activity||metal ion transmembrane transporter activity
orf6.1089	C3_02300W_A	FGR23	Protein of unknown function; repressed by a1/alpha2 in white-phase cells, a-specific, alpha factor-induced; Hap43-repressed; flow model biofilm induced; Tn mutation affects filamentous growth;	cellular response to biotic stimulus||cellular response to starvation||filamentous growth||filamentous growth of a population of unicellular organisms in response to biotic stimulus||filamentous growth of a population of unicellular organisms in response to starvation	cell surface	molecular_function
orf6.109	C1_05700W_A	AUT7	Putative autophagosome protein; acts synergistically with Ysy6p to regulate unfolded protein response and mitochondrial function under ER stress; macrophage/pseudohyphal-repressed; alternatively spliced intron in 5' UTR	autophagy of mitochondrion||cellular protein-containing complex localization||endoplasmic reticulum to Golgi vesicle-mediated transport||endoplasmic reticulum unfolded protein response||late nucleophagy||membrane fusion||piecemeal microautophagy of the nucleus||protein localization by the Cvt pathway||protein localization to phagophore assembly site||protein targeting to vacuole involved in autophagy||regulation of macroautophagy||reticulophagy||syncytium formation by plasma membrane fusion	autophagosome||cytosol||extrinsic component of membrane||fungal-type vacuole membrane||phagophore assembly site||vacuole-isolation membrane contact site	phosphatidylethanolamine binding||protein tag
